carat,cut,color,clarity,depth,table,x,y,z,price
0.59,Very Good,D,VVS2,60.6,59.0,5.44,5.49,3.31,2933
0.56,Premium,E,VS2,61.0,62.0,5.36,5.28,3.24,1882
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1612
0.4,Very Good,G,IF,61.0,59.0,4.75,4.79,2.91,1154
0.91,Ideal,G,SI1,62.0,56.0,6.19,6.22,3.85,4922
1.02,Ideal,D,VS1,60.5,56.0,6.55,6.48,3.94,8181
1.02,Good,H,SI2,63.1,59.0,6.37,6.43,4.04,4207
1.08,Premium,G,VS1,62.9,55.0,6.6,6.53,4.13,6982
1.51,Ideal,F,VS2,61.7,57.0,7.37,7.31,4.53,13325
0.4,Ideal,E,VVS1,62.6,56.0,4.7,4.73,2.95,1333
1.01,Good,E,VS2,65.6,55.0,6.16,6.22,4.06,5829
1.43,Very Good,G,VS2,62.2,58.0,7.15,7.18,4.46,10419
1.0,Very Good,D,SI2,62.3,56.0,6.33,6.39,3.96,4348
1.52,Premium,G,SI2,60.9,57.0,7.5,7.44,4.55,8299
1.59,Ideal,E,SI2,62.3,55.0,7.48,7.52,4.67,11149
0.9,Very Good,G,VS2,61.9,56.0,6.17,6.23,3.84,4269
0.33,Ideal,E,VVS1,62.2,55.0,4.42,4.46,2.76,986
0.59,Very Good,I,VS2,62.4,58.4,5.3,5.36,3.32,1392
0.9,Premium,G,VS2,60.8,56.0,6.19,6.14,3.75,4137
0.9,Premium,E,VS2,58.0,61.0,6.45,6.34,3.71,4385
0.82,Ideal,G,VVS2,62.1,56.0,5.97,6.01,3.72,4130
1.03,Premium,G,SI1,61.6,59.0,6.53,6.5,4.01,4900
0.56,Ideal,G,IF,62.2,54.0,5.3,5.34,3.31,2321
0.96,Premium,J,SI1,62.9,59.0,6.3,6.22,3.94,3187
0.75,Premium,H,SI1,60.7,62.0,5.87,5.82,3.55,2331
0.33,Very Good,F,VS2,63.2,56.0,4.41,4.39,2.78,854
0.51,Very Good,F,VVS2,60.8,56.0,5.17,5.2,3.15,2041
0.3,Ideal,E,SI1,61.7,58.0,4.29,4.3,2.65,499
0.4,Premium,G,VS2,61.9,58.0,4.74,4.76,2.94,753
0.38,Premium,I,VS2,61.8,59.0,4.64,4.61,2.86,812
0.71,Ideal,G,VS1,,56.0,5.69,5.72,3.55,2962
0.71,Ideal,E,VS2,61.8,57.0,5.69,5.74,3.53,3301
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5539
1.03,Premium,G,VS1,62.2,57.0,6.47,6.42,4.01,6659
0.7,Very Good,J,VS2,63.3,58.0,5.61,5.63,3.56,2044
0.38,Very Good,G,SI1,62.0,54.8,4.64,4.67,2.89,755
0.31,Premium,I,VS2,61.1,58.0,4.38,4.36,2.67,558
1.66,Good,J,VS2,64.4,54.0,7.45,7.54,4.83,8496
1.0,Good,G,SI1,57.2,59.0,6.66,6.62,3.8,4758
0.3,Ideal,G,VS1,61.1,56.0,4.36,4.35,2.66,673
0.5,Premium,G,SI2,62.0,59.0,5.1,5.03,3.14,1031
1.01,Good,G,SI1,63.5,60.0,6.3,6.33,4.01,4588
0.3,Very Good,G,VS1,62.1,60.0,4.24,4.3,2.65,605
1.54,Premium,G,SI2,59.4,60.0,7.52,7.49,4.46,7848
0.56,Ideal,G,VVS2,62.0,54.0,5.28,5.32,3.29,1949
0.35,Very Good,D,SI1,60.1,61.0,4.56,4.59,2.75,644
0.3,Ideal,G,VS1,62.2,55.0,4.28,4.31,2.67,605
0.53,Ideal,E,VS2,61.4,56.0,5.21,5.24,3.21,1721
1.1,Ideal,F,SI2,62.4,56.0,6.58,6.62,4.12,5596
0.6,Ideal,E,VS2,61.2,56.0,5.45,5.44,3.33,2189
0.3,Very Good,H,VVS1,63.0,56.0,4.24,4.27,2.68,684
1.5,Premium,E,SI2,58.0,60.0,7.52,7.47,4.35,8190
1.31,Ideal,H,VS1,62.5,56.0,6.95,7.03,4.37,8617
0.33,Premium,E,VS2,62.0,59.0,4.39,4.41,2.73,723
1.0,Premium,F,SI1,61.2,58.0,6.44,6.4,3.93,5292
0.31,Premium,E,VS2,60.0,59.0,4.39,4.35,2.62,872
0.27,Very Good,F,VS2,61.8,57.0,4.14,4.18,2.57,518
1.7,Ideal,I,VS2,61.7,56.0,7.72,7.64,4.74,11360
0.57,Ideal,F,VS2,61.3,57.0,5.35,5.39,3.29,1612
2.03,Very Good,E,SI2,63.0,61.0,7.99,8.04,5.05,15690
0.29,Very Good,E,VS1,62.1,57.0,4.2,4.24,2.62,496
0.5,Very Good,D,VS2,63.2,60.0,5.04,5.02,3.18,1632
1.25,Ideal,H,SI2,61.2,57.0,6.89,6.93,4.23,5706
0.76,Premium,J,VS1,61.1,58.0,5.85,5.91,3.59,2148
1.11,Very Good,E,SI2,60.0,61.0,6.66,6.71,4.01,4170
1.06,Ideal,E,VS1,62.1,57.0,6.52,6.49,4.04,8567
0.3,Fair,E,SI1,64.5,49.0,4.28,4.25,2.75,630
1.22,Ideal,H,VS2,61.9,55.0,6.88,6.83,4.24,4914
1.15,Very Good,H,SI2,63.0,54.0,6.64,6.73,4.21,4483
0.59,Premium,H,VVS2,62.3,55.0,5.42,5.33,3.35,1886
0.3,Premium,E,VVS2,60.8,60.0,4.31,4.27,2.61,1013
0.31,Ideal,G,VVS1,61.8,54.0,4.39,4.41,2.72,789
1.62,Premium,F,SI2,61.6,60.0,7.52,7.55,4.64,9106
0.5,Ideal,E,VS1,62.2,56.0,5.1,5.13,3.18,1619
1.01,Very Good,G,VS1,62.7,56.0,6.36,6.46,4.02,6326
1.13,Very Good,F,VS1,61.6,58.0,6.61,6.68,4.09,7092
0.72,Ideal,J,VVS2,60.9,58.0,5.74,5.78,3.51,2136
1.51,Ideal,G,VS2,62.0,56.0,7.35,7.32,4.55,13355
1.22,Very Good,G,VS2,63.1,56.0,6.82,6.8,4.3,6962
1.22,Premium,E,SI2,61.5,58.0,6.86,6.84,4.21,6121
0.51,Very Good,E,SI1,61.2,61.0,5.13,5.16,3.15,1304
0.5,Ideal,E,VS2,61.4,56.0,5.12,5.08,3.13,1629
1.0,Premium,F,SI1,62.3,59.0,6.43,6.37,3.99,5292
0.24,Very Good,D,VVS2,58.7,61.0,4.04,4.07,2.38,485
0.51,Ideal,D,SI2,59.8,55.0,5.23,5.17,3.11,1359
0.58,Ideal,G,SI1,61.5,56.0,5.35,5.38,3.3,1690
0.84,Very Good,G,VS2,61.8,57.0,6.04,6.07,3.74,3596
0.71,Ideal,G,VVS1,61.2,56.0,5.75,5.81,3.54,4015
0.55,Good,H,SI1,63.6,55.0,5.18,5.23,3.31,1175
0.7,Premium,F,VS2,62.0,56.0,5.72,5.67,3.53,2573
1.5,Premium,F,VS1,62.6,58.0,7.31,7.26,4.56,14918
2.05,Fair,I,VS1,67.7,58.0,7.74,7.68,5.22,17408
2.06,Premium,I,SI2,61.1,57.0,8.3,8.24,5.05,12842
1.43,Premium,F,SI1,61.5,58.0,7.27,7.22,4.45,8809
0.55,Ideal,I,VVS1,61.7,56.0,5.24,5.29,3.25,1593
0.52,Ideal,D,SI2,61.7,55.0,5.17,5.2,3.2,1292
1.52,Ideal,F,SI2,61.8,58.0,7.38,7.4,4.57,10316
1.09,Very Good,G,VS1,59.7,63.0,6.74,6.65,4.0,6570
0.7,Premium,G,VS1,61.4,59.0,5.59,5.74,3.51,2512
1.01,Very Good,G,VS1,62.5,56.0,6.36,6.4,3.99,6846
1.71,Ideal,H,VS2,62.1,56.0,7.64,7.7,4.76,14017
0.32,Very Good,H,VS2,62.7,54.0,4.39,4.41,2.76,505
0.32,Premium,G,VS1,61.2,62.0,4.45,4.41,2.71,773
1.01,Very Good,E,VS2,61.7,56.0,6.41,6.45,3.97,5777
0.3,Ideal,G,VS1,61.5,56.0,4.34,4.28,2.65,776
0.75,Premium,G,SI1,60.4,58.0,5.88,5.84,3.54,2415
0.51,Premium,E,VS1,61.9,58.0,5.1,5.15,3.17,1831
0.59,Ideal,E,VVS2,61.8,57.0,5.35,5.4,3.32,3026
0.82,Ideal,D,SI2,62.1,57.0,6.04,6.0,3.74,3357
1.51,Very Good,J,SI2,62.8,59.0,7.23,7.26,4.55,6773
1.93,Premium,H,VS1,60.5,60.0,8.06,7.98,4.85,17096
0.4,Premium,G,VVS1,62.3,58.0,4.66,4.72,2.92,1123
1.1,Ideal,J,SI1,61.5,55.0,6.65,6.68,4.1,4390
0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,2947
0.5,Very Good,F,SI1,61.2,61.0,5.06,5.1,3.11,1250
0.59,Ideal,F,SI2,59.5,57.0,5.5,5.54,3.28,1221
0.92,Ideal,H,SI1,61.6,56.0,6.21,6.25,3.84,4587
0.36,Ideal,H,IF,61.6,56.0,4.56,4.59,2.82,912
0.55,Ideal,G,VVS2,62.0,56.0,5.26,5.28,3.27,1981
1.0,Good,H,VS2,57.8,59.0,6.53,6.47,3.75,4166
0.32,Ideal,G,VS2,60.3,57.0,4.43,4.46,2.68,561
0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
0.73,Fair,I,I1,70.8,55.0,5.51,5.34,3.84,1049
2.11,Premium,H,VS2,60.8,61.0,8.32,8.28,5.05,16395
0.64,Very Good,H,SI2,64.2,58.0,5.43,5.48,3.5,1292
0.72,Ideal,F,VS1,61.3,56.0,5.74,5.78,3.54,3759
0.38,Ideal,E,SI1,60.7,56.0,4.69,4.73,2.86,680
1.19,Ideal,H,SI2,62.0,57.0,6.77,6.81,4.21,4914
0.51,Very Good,F,VS1,61.4,60.0,5.07,5.13,3.13,1604
1.5,Good,F,I1,60.6,62.0,7.22,7.24,4.38,5313
0.39,Very Good,D,VVS1,63.0,60.0,4.61,4.63,2.91,1092
0.32,Premium,I,SI1,62.7,58.0,4.37,4.34,2.73,554
1.52,Good,E,VS1,64.0,55.0,7.27,7.19,4.63,15792
0.4,Very Good,F,VVS2,60.9,52.0,4.81,4.83,2.94,1049
0.31,Ideal,D,VS2,61.2,55.0,4.42,4.37,2.69,942
1.27,Ideal,F,SI2,62.0,55.0,6.95,6.9,4.3,5405
0.43,Ideal,F,VVS1,62.1,55.0,4.85,4.81,3.0,1422
0.35,Ideal,H,VS1,62.0,56.0,4.54,4.56,2.82,614
1.0,Ideal,E,SI1,62.7,57.0,6.39,6.49,4.04,5622
0.33,Ideal,G,VS2,61.6,55.0,4.46,4.43,2.74,743
0.5,Fair,G,VS1,65.8,57.0,5.03,4.91,3.27,1350
2.14,Premium,H,SI1,62.3,58.0,8.28,8.22,5.14,14490
1.33,Very Good,I,SI1,62.6,56.0,6.97,7.03,4.38,6513
1.19,Ideal,J,SI2,61.7,56.0,6.8,6.85,4.21,4508
0.31,Ideal,E,VS1,61.9,54.4,4.33,4.37,2.69,685
0.59,Ideal,E,SI1,62.0,55.0,5.37,5.4,3.34,1664
1.69,Very Good,E,VS2,,58.0,7.52,7.6,4.74,17803
0.84,Premium,H,SI2,61.3,58.0,6.1,6.04,3.72,2628
0.57,Ideal,E,SI1,62.2,57.0,5.33,5.31,3.31,1613
0.4,Ideal,E,VS2,62.3,56.0,4.75,4.72,2.95,975
1.09,Ideal,F,SI1,62.0,56.0,6.61,6.59,4.09,5922
0.72,Very Good,G,SI1,62.8,59.0,5.69,5.74,3.59,2265
0.4,Ideal,H,VVS2,62.1,57.0,4.74,4.69,2.93,1125
0.27,Ideal,E,VVS1,62.0,56.0,4.16,4.19,2.59,586
1.52,Ideal,G,VVS1,62.4,55.0,7.3,7.39,4.58,15959
0.38,Ideal,E,VVS2,61.8,56.0,4.67,4.72,2.9,947
0.45,Ideal,E,VVS2,61.6,56.0,4.96,4.98,3.06,1817
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2711
0.7,Ideal,J,VS1,61.4,55.0,5.72,5.75,3.53,2107
1.5,Good,E,I1,62.4,64.0,7.22,7.26,4.52,4989
1.23,Very Good,I,VS2,61.2,59.0,6.84,6.81,4.18,6826
1.34,Very Good,H,VVS2,59.7,60.0,7.19,7.22,4.3,9735
1.12,Ideal,G,VS1,61.0,56.0,6.72,6.76,4.11,7495
0.72,Premium,F,SI1,61.6,60.0,5.79,5.73,3.55,2314
1.01,Premium,F,SI2,62.6,54.0,6.38,6.34,3.98,4468
0.53,Premium,H,IF,,59.0,5.15,5.18,3.23,1957
0.73,Ideal,H,SI1,62.6,57.0,5.66,5.74,3.57,2320
0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4137
1.01,Ideal,D,SI1,60.8,56.0,6.54,6.48,3.96,5939
1.0,Very Good,E,VVS2,61.6,60.0,6.41,6.45,3.96,9139
1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,7951
0.24,Ideal,F,VVS2,61.5,56.0,3.99,4.01,2.46,540
0.37,Premium,E,VS2,61.0,59.0,4.59,4.63,2.81,811
1.32,Ideal,I,VS2,60.8,57.0,7.07,7.02,4.28,7209
1.06,Ideal,D,VVS2,61.1,56.0,6.58,6.59,4.02,11209
2.17,Fair,G,I1,55.6,62.0,8.75,8.69,4.8,6817
0.9,Very Good,F,SI1,59.6,63.0,6.24,6.17,3.7,3992
0.42,Ideal,G,VVS1,60.0,57.0,4.86,4.84,2.91,1235
0.32,Ideal,F,VS1,61.3,56.0,4.4,4.44,2.71,702
0.3,Premium,J,VS1,62.6,60.0,4.22,4.28,2.66,394
0.7,Ideal,H,SI1,62.2,55.0,5.67,5.71,3.54,2294
2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,15919
2.0,Ideal,F,SI2,62.6,57.0,8.08,8.01,5.04,18172
1.23,Very Good,G,VVS2,62.0,58.0,6.77,6.82,4.21,9803
1.23,Very Good,H,SI1,60.3,58.0,6.93,6.96,4.19,6997
0.32,Ideal,E,VVS2,60.9,55.0,4.41,4.43,2.69,837
0.3,Good,H,VS1,63.2,59.0,4.31,4.27,2.71,512
0.97,Premium,F,SI1,59.9,59.0,6.39,6.36,3.82,4726
1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,14709
0.34,Ideal,F,VVS2,62.0,54.2,4.47,4.49,2.78,846
0.35,Ideal,D,VVS1,61.0,55.0,4.62,4.59,2.81,1303
1.21,Premium,H,SI2,60.6,56.0,6.92,6.84,4.17,5140
0.7,Ideal,H,VVS2,61.0,56.0,5.75,5.78,3.52,3325
1.14,Ideal,G,VVS2,62.3,55.0,6.64,6.72,4.18,8743
1.21,Ideal,G,VS1,62.5,55.0,6.79,6.8,4.25,8020
0.32,Ideal,G,VS2,62.0,57.0,4.37,4.4,2.72,561
0.3,Ideal,G,VS1,61.5,57.0,4.34,4.31,2.66,776
0.71,Very Good,I,VS1,62.3,60.0,5.69,5.73,3.56,2326
0.54,Ideal,F,SI2,60.8,56.0,5.26,5.34,3.22,1235
1.05,Premium,G,SI2,62.7,54.0,6.51,6.48,4.07,4018
0.91,Premium,H,SI1,62.2,60.0,6.22,6.16,3.85,3669
1.51,Very Good,I,VS1,63.0,59.0,7.28,7.3,4.59,9343
0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,1801
1.03,Premium,D,SI2,62.5,54.0,6.5,6.42,4.04,4764
1.09,Premium,I,SI1,61.9,58.0,6.65,6.58,4.1,3968
0.34,Ideal,E,VVS1,62.1,57.0,4.46,4.5,2.78,1014
0.4,Ideal,H,VVS2,61.4,55.7,4.72,4.77,2.92,905
0.44,Very Good,F,SI1,62.8,59.0,4.88,4.91,3.07,829
2.04,Very Good,I,VS2,60.3,59.0,8.18,8.2,4.94,17315
0.32,Ideal,G,VVS2,61.9,57.0,4.41,4.38,2.72,936
0.7,Ideal,H,SI1,61.4,57.0,5.64,5.76,3.5,2240
0.23,Very Good,E,VVS2,61.9,60.0,3.93,3.96,2.44,505
0.88,Premium,G,VS2,61.1,58.0,6.19,6.15,3.77,3400
0.26,Very Good,D,VS1,60.0,56.0,4.15,4.18,2.5,425
2.02,Good,H,SI2,60.2,55.0,8.08,8.19,4.9,16565
0.34,Premium,I,VVS1,60.5,59.0,4.48,4.54,2.73,626
0.32,Ideal,I,SI1,60.5,58.0,4.43,4.49,2.7,450
0.34,Ideal,H,VS2,61.4,57.0,4.55,4.48,2.77,689
0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,3376
1.39,Premium,I,I1,62.6,57.0,7.15,7.1,4.46,3985
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,7056
0.92,Premium,F,SI2,59.3,61.0,6.36,6.29,3.75,3864
0.96,Ideal,F,VS1,61.7,56.0,6.4,6.34,3.93,4333
0.83,Very Good,F,SI1,62.1,58.0,5.98,6.06,3.74,3010
0.43,Very Good,E,SI1,62.9,56.0,4.8,4.83,3.03,792
1.51,Premium,I,SI2,60.4,56.0,7.4,7.36,4.46,7577
0.96,Very Good,H,SI1,63.1,58.0,6.2,6.25,3.93,4064
0.35,Ideal,G,VVS1,61.7,55.0,4.54,4.57,2.81,849
0.41,Premium,G,VVS2,61.6,56.0,4.78,4.76,2.94,1076
0.5,Very Good,E,VS2,63.6,59.0,4.99,5.04,3.19,1446
0.71,Good,I,VS1,63.6,56.0,5.65,5.7,3.61,2306
1.22,Ideal,I,SI1,61.9,56.0,6.87,6.83,4.24,5261
0.33,Premium,F,VS2,60.8,58.0,4.44,4.47,2.71,666
1.03,Premium,F,SI1,61.5,59.0,6.49,6.42,3.97,5087
0.6,Premium,E,SI1,60.8,58.0,5.46,5.5,3.33,1625
0.31,Ideal,F,IF,62.2,56.0,4.31,4.34,2.69,979
1.0,Premium,E,SI2,60.7,58.0,6.45,6.38,3.9,3763
1.01,Good,G,VS1,63.7,56.0,6.37,6.29,4.03,6529
0.32,Ideal,F,VVS1,61.5,56.0,4.41,4.43,2.72,867
0.38,Ideal,I,SI1,61.5,56.0,4.67,4.7,2.88,668
1.2,Premium,G,VS2,61.4,60.0,6.77,6.81,4.17,7603
0.41,Good,F,SI1,63.3,58.0,4.71,4.74,2.99,705
2.31,Premium,I,SI2,62.9,58.0,8.43,8.34,5.27,17218
1.51,Ideal,I,SI2,61.2,58.0,7.33,7.42,4.51,7362
0.4,Very Good,D,VS2,59.3,58.0,4.8,4.85,2.86,850
0.59,Very Good,D,SI1,62.3,54.0,5.38,5.41,3.36,1816
0.62,Ideal,E,VS1,60.3,57.0,5.52,5.57,3.35,2492
0.51,Premium,F,VS1,61.4,58.0,5.15,5.18,3.17,1744
1.1,Very Good,H,SI2,62.9,58.0,6.53,6.56,4.12,4422
0.31,Ideal,G,VVS1,61.9,55.0,4.3,4.36,2.68,816
0.52,Premium,H,SI1,62.6,55.0,5.16,5.12,3.22,1219
0.53,Very Good,E,VS2,60.1,60.0,5.21,5.28,3.15,1612
2.15,Ideal,I,SI2,61.7,55.0,8.43,8.24,5.14,14519
1.01,Very Good,G,VS2,59.2,59.0,6.52,6.59,3.88,5999
0.34,Good,H,VS2,63.1,56.0,4.41,4.46,2.8,537
0.31,Ideal,E,VS2,62.5,54.0,4.33,4.37,2.72,720
0.76,Very Good,H,SI1,61.4,57.0,5.89,5.94,3.63,2557
0.3,Very Good,D,SI1,63.1,56.0,4.28,4.24,2.69,662
2.01,Very Good,E,SI2,,60.0,8.2,8.24,4.84,17024
1.01,Very Good,H,SI2,63.5,58.0,6.29,6.37,4.02,4475
0.91,Premium,G,VS2,60.8,56.0,6.28,6.21,3.8,4357
0.54,Ideal,D,VS1,61.4,57.0,5.21,5.24,3.21,2039
1.26,Ideal,G,SI1,59.6,57.0,7.08,7.04,4.21,6738
1.06,Premium,I,SI2,58.4,58.0,6.7,6.65,3.9,4007
1.11,Ideal,G,VS1,62.1,57.0,6.61,6.63,4.11,7917
1.01,Premium,G,VS2,62.9,58.0,6.39,6.3,3.99,6108
0.2,Premium,E,SI2,,62.0,3.79,3.75,2.27,345
0.73,Premium,F,VS2,58.9,60.0,5.9,5.81,3.45,2446
1.0,Good,F,VS2,61.1,61.0,6.38,6.45,3.92,6841
0.41,Very Good,H,IF,62.9,54.0,4.71,4.74,2.97,1187
0.32,Ideal,H,VVS1,61.9,55.0,4.37,4.38,2.71,730
0.7,Good,H,SI2,61.5,63.0,5.59,5.63,3.45,1899
0.72,Very Good,G,SI1,63.1,57.0,5.66,5.72,3.59,2353
0.55,Ideal,E,SI1,60.6,56.0,5.33,5.3,3.22,1668
0.63,Ideal,D,SI1,61.5,56.0,5.52,5.53,3.4,1964
0.28,Premium,E,VVS1,61.3,60.0,4.18,4.21,2.57,646
0.99,Fair,J,SI1,58.0,67.0,6.57,6.5,3.79,2949
0.74,Ideal,I,VS1,60.7,56.0,5.86,5.9,3.57,2631
1.97,Premium,H,VS2,62.9,59.0,8.01,7.9,5.0,17535
0.7,Good,E,SI1,61.6,61.0,5.64,5.66,3.48,2111
0.37,Premium,E,VS2,60.2,58.0,4.65,4.68,2.81,757
1.0,Ideal,G,SI1,61.9,56.0,6.37,6.45,3.97,4997
0.31,Premium,F,VS2,61.6,58.0,4.35,4.38,2.69,625
0.36,Premium,F,VS2,60.5,60.0,4.61,4.55,2.77,932
0.24,Premium,D,VVS1,61.5,60.0,4.0,3.97,2.45,710
0.37,Ideal,D,VVS2,61.6,56.0,4.65,4.61,2.85,1145
1.21,Very Good,J,VS2,60.9,58.0,6.86,6.91,4.19,4816
0.71,Fair,F,SI1,62.6,57.0,5.73,5.68,3.57,2088
0.9,Good,H,SI1,63.2,61.0,6.12,6.03,3.84,3398
0.51,Very Good,G,VVS2,62.2,56.0,5.1,5.13,3.18,1762
1.7,Premium,H,SI1,61.8,61.0,7.59,7.52,4.67,11848
0.38,Ideal,G,VVS2,,57.0,4.64,4.66,2.89,879
2.07,Good,I,SI1,63.6,58.0,8.09,7.99,5.11,13993
0.5,Very Good,J,SI1,62.8,58.0,5.05,5.08,3.18,990
0.94,Premium,H,VS2,60.1,59.0,6.35,6.32,3.81,4548
0.39,Ideal,H,SI2,61.5,57.0,4.66,4.7,2.88,558
0.26,Very Good,E,VVS2,63.0,58.0,4.08,4.11,2.58,597
1.79,Premium,J,VS2,62.5,60.0,7.76,7.69,4.83,10581
1.25,Premium,D,SI2,63.0,62.0,6.86,6.82,4.3,5947
0.3,Premium,G,VVS1,61.8,59.0,4.28,4.33,2.66,789
0.37,Very Good,E,SI1,61.4,60.0,4.6,4.62,2.83,593
1.03,Premium,G,SI1,58.4,58.0,6.66,6.62,3.88,5249
1.02,Good,H,SI1,63.9,55.0,6.37,6.4,4.08,4476
0.38,Ideal,D,SI2,62.0,53.0,4.68,4.71,2.91,599
1.04,Ideal,H,VS1,62.7,57.0,6.42,6.46,4.04,5577
0.7,Very Good,E,VS2,62.8,57.0,5.66,5.68,3.56,2553
1.56,Very Good,J,SI2,61.4,58.0,7.4,7.45,4.56,6662
1.1,Premium,F,SI2,62.6,57.0,6.6,6.56,4.12,4832
1.5,Good,G,SI2,57.9,61.0,7.52,7.48,4.35,6006
0.73,Ideal,F,VS1,61.2,56.0,5.89,5.81,3.58,2835
1.06,Premium,D,SI1,59.4,57.0,6.72,6.65,3.97,5817
0.7,Ideal,F,SI1,61.6,56.0,5.73,5.67,3.51,2319
0.65,Premium,E,SI1,58.5,58.0,5.68,5.64,3.31,1708
0.3,Ideal,G,VS1,62.0,56.0,4.29,4.32,2.67,624
2.03,Ideal,J,SI1,62.6,55.0,8.06,8.1,5.06,13357
0.41,Good,E,SI1,,55.0,4.73,4.75,3.01,654
0.31,Very Good,F,SI1,62.9,57.0,4.31,4.34,2.72,516
0.31,Ideal,E,VS2,62.4,53.0,4.33,4.36,2.71,642
0.33,Ideal,G,VVS2,60.1,57.0,4.51,4.48,2.7,965
1.09,Good,F,SI2,63.2,58.0,6.49,6.54,4.12,4766
0.72,Ideal,F,VS2,62.0,56.0,5.77,5.75,3.57,2943
0.3,Ideal,F,IF,61.7,58.0,4.3,4.32,2.66,886
0.55,Ideal,H,SI2,62.2,54.0,5.28,5.3,3.29,1057
0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86,851
1.16,Ideal,I,SI1,,60.0,6.76,6.71,4.14,4742
0.31,Ideal,F,VS2,62.3,55.0,4.38,4.35,2.72,802
0.5,Good,G,VVS1,60.0,62.0,5.12,5.18,3.09,1966
0.41,Ideal,D,VS1,62.6,55.0,4.75,4.77,2.98,1019
0.51,Very Good,G,IF,63.8,58.0,5.06,5.09,3.24,2063
0.9,Very Good,D,SI2,60.3,63.0,6.22,6.12,3.72,3473
1.51,Ideal,E,SI2,62.7,55.0,7.27,7.18,4.53,7272
0.25,Ideal,G,VVS1,61.7,56.0,4.05,4.07,2.51,582
1.27,Ideal,F,VS2,61.0,59.0,6.96,6.98,4.25,9547
0.39,Ideal,I,VS2,61.5,55.0,4.7,4.73,2.9,651
1.23,Premium,G,SI1,61.2,59.0,6.88,6.81,4.19,6888
1.14,Very Good,I,VS2,62.5,59.0,6.63,6.66,4.15,4785
0.53,Premium,H,VS1,60.5,57.0,5.34,5.27,3.21,1607
1.52,Very Good,D,SI2,60.6,62.0,7.37,7.42,4.48,9389
0.76,Good,I,SI1,64.1,59.0,5.75,5.73,3.68,2016
1.51,Ideal,J,SI1,61.4,57.0,7.38,7.43,4.55,8049
0.31,Good,J,SI1,63.5,55.0,4.3,4.33,2.74,363
1.0,Ideal,G,SI1,63.0,55.0,6.42,6.41,4.04,5096
1.52,Premium,H,VS1,58.4,59.0,7.55,7.52,4.4,11853
0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,2426
0.35,Ideal,F,VS2,62.4,57.0,4.5,4.51,2.81,706
0.72,Very Good,F,VVS2,63.4,56.0,5.68,5.71,3.61,3338
0.7,Premium,I,SI2,59.5,58.0,5.79,5.73,3.43,1890
1.03,Ideal,F,VS2,62.3,56.0,6.52,6.49,4.05,6922
0.38,Premium,G,VS1,61.0,58.0,4.71,4.67,2.86,1069
0.3,Ideal,H,VS2,61.7,57.0,4.28,4.32,2.65,454
0.32,Premium,G,VS1,61.0,59.0,4.43,4.39,2.69,828
0.46,Ideal,G,SI1,62.2,53.4,4.95,4.98,3.09,934
1.96,Fair,I,I1,66.8,55.0,7.62,7.6,5.08,6147
0.8,Premium,G,VS1,62.5,58.0,5.9,5.94,3.7,3514
2.02,Good,E,SI2,58.8,61.0,8.21,8.25,4.84,18236
1.02,Ideal,H,SI1,61.7,57.0,6.45,6.48,3.99,5047
0.53,Very Good,G,SI1,61.0,55.0,5.21,5.32,3.21,1219
0.31,Ideal,G,IF,60.7,58.0,4.37,4.41,2.67,871
0.31,Very Good,G,VS2,63.1,56.0,4.37,4.31,2.74,698
1.0,Good,G,VVS1,63.8,60.0,6.35,6.31,4.04,7134
1.2,Ideal,J,SI1,61.9,57.0,6.8,6.87,4.23,5071
0.52,Premium,G,VS1,61.1,58.0,5.19,5.16,3.16,1815
0.47,Premium,G,SI1,59.5,60.0,5.09,5.06,3.02,1110
0.9,Ideal,E,SI1,61.9,54.0,6.19,6.22,3.84,5373
1.01,Very Good,G,SI2,61.0,58.0,6.43,6.48,3.94,4249
0.56,Very Good,E,VVS2,60.3,57.0,5.33,5.37,3.23,2304
1.01,Good,F,VS2,61.7,58.0,6.3,6.34,3.9,6288
0.23,Good,F,VS1,63.2,58.0,3.86,3.89,2.45,376
0.51,Ideal,D,VS2,61.5,55.0,5.13,5.18,3.17,1787
0.8,Ideal,F,VVS2,61.6,57.0,5.97,5.94,3.67,4140
0.42,Premium,G,VVS2,60.4,59.0,4.82,4.78,2.9,1103
0.42,Ideal,G,VS2,61.6,56.0,4.82,4.83,2.97,847
1.01,Good,I,SI1,64.1,59.0,6.24,6.21,3.99,3676
0.33,Very Good,G,VS2,60.8,62.0,4.42,4.46,2.7,579
